road_name,ausrap_section_id,veh_str_rating_smoothed,survey_date,road_type,OBJECTID,SHAPE_Length
"0007718-OGUNBIL RD,NOWENDOC RD,TOPDALE RD",1,1,20220516,Regional,97,24744.65855
0000348-PEAK HILL TULLAMORE RD,1,4,20220202,Regional,98,475.6531068
"0007365-WILLANDRA RD,CARAWA RD,SOUTH CREEK RD",1,3,20210930,Regional,99,2290.576922
0000002-HUME HIGHWAY,2,3,20140918,State,100,3641.466387
"0000658-O'RIORDAN ST,JOYCE DR",1,3,20160225,State,101,482.152924
0000005-GREAT WESTERN HIGHWAY,1,4,20151010,State,102,240.9358034
"0000155-MULGOA RD,PARK RD",1,3,20161103,State,103,12679.35473
0000022-SILVER CITY HIGHWAY,3,3,20140910,State,104,678.7325079
0006005-M5 MOTORWAY,2,4,20160310,State,105,361.7499081
0000022-SILVER CITY HIGHWAY,1,3,20140910,State,106,725.1278455
0000647-BRINGELLY RD,1,2,20161103,State,107,723.1454671
0000001-PRINCES HIGHWAY,2,3,20150320,State,108,4958.566213
"0000152-LAWRENCE RD,YAMBA RD",1,1,20220701,Regional,109,13810.79733
0000009-NEW ENGLAND HIGHWAY,2,3,20211102,State,110,3506.07466
"0006002-M2 HILLS MOTORWAY, LANE COVE TUNNEL",1,3,20170206,State,111,3620.440387
0000078-OLYMPIC HIGHWAY,3,4,20140926,State,112,1609.66385
0004025-GARIE RD,1,2,20160203,State,113,1573.352057
0000001-PRINCES HIGHWAY,13,2,20150320,State,114,735.6972657
0000029-KAMILAROI HIGHWAY,4,3,20220203,State,115,62547.20866
"0000192-THE BUCKETTS WAY,GLOUCESTER RD,WINGHAM RD",1,2,20220429,Regional,116,4720.615412
"0000620-CAMDEN VALLEY WAY,REMEMBRANCE DVWY,CAMDEN BYPA",2,5,20161102,State,117,287.5670066
0000010-PACIFIC HIGHWAY,9,3,20211113,State,118,3433.942476
0004033-BURRINJUCK RD,1,2,20211022,Regional,119,7030.752535
0006004-M4 WESTERN MOTORWAY,1,3,20161121,State,120,602.3837782
"0000079-BRAIDWOOD RD,GOULBURN RD",1,3,20151202,State,121,1221.272851
0000170-BOTANY RD,2,3,20160311,State,122,1209.680803
0000017-NEWELL HIGHWAY,1,5,20150220,State,123,494.8018269
"0000624-RAMSGATE RD,PARK RD",1,3,20211007,Regional,124,407.0338571
0000136-WELLINGTON VALE RD,1,1,20220527,Regional,125,16167.80272
0000094-WAKOOL RD,1,4,20211109,Regional,126,3685.040369
"0000137-ASHFORD RD,BONSHAW RD",1,2,20220524,Regional,127,10333.33432
0000056-LACHLAN VALLEY WAY,1,2,20150218,State,128,74699.98815
0000017-NEWELL HIGHWAY,2,3,20150221,State,129,4629.867293
0000005-GREAT WESTERN HIGHWAY,2,2,20130921,State,130,6975.72196
"0000092-NERRIGA RD,BRAIDWOOD RD",1,1,20210609,Regional,131,5285.714337
0000216-HILL END RD,1,2,20211220,Regional,132,3585.255834
0000410-KIDMAN WAY,1,3,20140905,State,133,10663.24813
0000055-BLACK STUMP WAY,1,3,20211222,Regional,134,3540.085342
"0000676-SYDNEY RD,HUME ST",1,3,20151202,State,135,1220.338995
"0000537-RICHMOND RD,BLACKTOWN RD,ROOTY HILL RD N",1,4,20160113,State,136,361.4740375
0000005-GREAT WESTERN HIGHWAY,2,2,20130921,State,137,3008.599709
"0000253-JENOLAN CAVES RD,O'CONNELL RD,EDITH RD",2,2,20151130,State,138,361.1107683
0000334-COONABARABRAN RD,1,2,20150914,State,139,7069.338305
0006011-HUNTER EXPRESSWAY,1,3,20150109,State,140,352.8361128
0000002-HUME HIGHWAY,2,4,20140918,State,141,3706.745244
0007482-COUNTY DR,1,3,20210924,Regional,142,1740.249355
0000016-BRUXNER HIGHWAY,1,2,20140218,State,143,2281.783852
0000011-OXLEY HIGHWAY,1,1,20201209,State,144,6913.946755
"0000605-UNIVERSITY DR,MAUD ST",1,4,20150108,State,145,2058.376006
0000005-GREAT WESTERN HIGHWAY,1,4,20151010,State,146,602.5599434
"0000104-RICHARDSON RD,RAYMOND TERRACE RD",1,3,20140304,State,147,476.9599768
"0000164-PITTWATER RD,BARRENJOEY RD",1,3,20161125,State,148,16524.6949
0000009-NEW ENGLAND HIGHWAY,2,2,20150918,State,149,1488.215426
0000462-BRUXNER WAY,1,3,20220525,Regional,150,10263.30695
"0000178-NARELLAN RD,CAMDEN VALLEY WAY",1,4,20160202,State,151,3868.0535
"0007293-ROPER RD,HEWITT ST",1,3,20210921,Regional,152,1325.263858
0000005-GREAT WESTERN HIGHWAY,2,2,20151010,State,153,3618.593821
0000073-THUNDERBOLTS WAY,2,3,20220523,Regional,154,2321.846989
"0000068-POONCARIE RD,BOURKE WILCANNIA RD,WEST WILCANNIA RD",1,4,20211107,Regional,155,3621.226541
"0000261-MOSS VALE RD,SHEEPWASH RD,KANGALOON RD",1,3,20160304,State,156,488.2459585
0000010-PACIFIC HIGHWAY,9,4,20211113,State,157,3404.683414
0000014-STURT HIGHWAY,2,2,20201028,State,158,18184.86271
"0000366-BOBBIN HEAD RD,KU RING GAI CHASE RD",1,2,20161201,State,159,11565.24924
0000001-PRINCES HIGHWAY,14,3,20150320,State,160,2087.281247
0000003-FEDERAL HIGHWAY,1,4,20130923,State,161,7343.952981
0000012-GWYDIR HIGHWAY,5,3,20210504,State,162,598.60544
"0000270-CAPTAINS FLAT RD,COOMA RD",1,2,20211203,Regional,163,4067.609714
"0000630-LONDONDERRY RD,CASTLEREAGH RD,CRANEBROOK RD",2,3,20161102,State,164,1792.021293
0000006-MID WESTERN HIGHWAY,1,2,20140901,State,165,241.2677724
0004016-LINK RD,1,1,20140927,State,166,5427.879223
"0000190-SILVERWATER RD,ALFORDS POINT RD,NEW ILLAWARRA RD",1,3,20161109,State,167,3386.859562
0000012-GWYDIR HIGHWAY,1,1,20210504,State,168,41388.72629
0000005-GREAT WESTERN HIGHWAY,9,2,20130921,State,169,362.0683218
"0000095-PICTON RD,MT OUSLEY RD",1,4,20150320,State,170,362.9379046
"0000349-EMPIRE BAY DR,BRISBANE WATER DR,MANNS RD",3,4,20150106,State,171,1202.574336
0000001-PRINCES HIGHWAY,3,4,20150320,State,172,1254.579078
0000002-HUME HIGHWAY,2,2,20140918,State,173,43353.16961
0000006-MID WESTERN HIGHWAY,2,4,20140901,State,174,481.7649747
0000089-TOMINGLEY ROAD,2,3,20220202,Regional,175,198.2537485
0000010-PACIFIC HIGHWAY,9,4,20211105,State,176,464.3094545
"0000217-WANGI RD,LAKE RD",1,2,20160308,State,177,4299.187563
"0000192-THE BUCKETTS WAY,GLOUCESTER RD,WINGHAM RD",2,3,20220428,Regional,178,740.2983067
0000020-RIVERINA HIGHWAY,2,3,20160123,State,179,17082.60022
"0002075-PRESIDENT AV,CAPTAIN COOK DR,THE BOULEVARDE",2,3,20211113,Regional,180,983.7289925
"0000105-NUNDLE RD,HUNTER RD,GUNDY RD",1,1,20220421,Regional,181,12649.74957
0000006-MID WESTERN HIGHWAY,1,2,20140901,State,182,20248.30371
"0000543-MILLWOOD RD,THE ROCK COLLINGULLIE RD,MUNDOWY LANE",2,4,20211029,Regional,183,121.941228
0000005-GREAT WESTERN HIGHWAY,1,3,20151010,State,184,964.076741
0000094-WAKOOL RD,1,3,20211109,Regional,185,7366.770713
0000410-KIDMAN WAY,1,2,20140905,State,186,7104.435021
0000022-SILVER CITY HIGHWAY,2,3,20140913,State,187,7509.961918
"0000059-URANA LOCKHART RD,COCKETGEDONG RD,LOCKHART RD",1,3,20211111,Regional,188,14711.51349
0007310-OXFORD ST,1,3,20211018,Regional,189,466.6087263
"0007304-MACQUARIE ST,COLLEGE ST,WENTWORTH AV",2,3,20211018,Regional,190,2495.04374
0000022-SILVER CITY HIGHWAY,2,3,20140913,State,191,3458.677483
"0000061-HENRY PARKES WAY,THE ESCORT WAY",2,2,20140926,State,192,7891.631157
0000170-BOTANY RD,2,2,20160311,State,193,1088.021234
"0000159-PITTWATER RD,SYDNEY RD",2,3,20161130,State,194,83.6162767
0000118-RODEO DR,1,1,20220628,Regional,195,15486.264
0000011-OXLEY HIGHWAY,1,1,20201209,State,196,3522.505172
"0000623-RIVERSIDE DR,FRASER ST",1,3,20220628,Regional,197,2325.947888
0000007-MITCHELL HIGHWAY,2,2,20210217,State,198,5222.639102
"0007191-BLAXLAND RD,GILCHRIST DR,THERRY RD",1,3,20210922,Regional,199,1695.816825
"0000054-TRUNKEY RD,SOFALA RD,JUNCTION POINT RD",2,1,20151130,State,200,3595.650658
0000007-MITCHELL HIGHWAY,2,2,20210217,State,201,3594.911318
0000001-PRINCES HIGHWAY,3,3,20150320,State,202,1350.409366
0000002-HUME HIGHWAY,2,4,20140918,State,203,3669.613403
"0000164-PITTWATER RD,BARRENJOEY RD",1,3,20161123,State,204,2408.743877
0000214-ULAN RD,1,3,20211220,Regional,205,3564.330795
0000009-NEW ENGLAND HIGHWAY,4,3,20211101,State,206,6295.185986
0000239-HENRY LAWSON WAY,1,2,20211022,Regional,207,3640.858853
0000016-BRUXNER HIGHWAY,1,2,20140218,State,208,4782.227999
0000572-EUMUNGERIE RD,1,2,20220208,State,209,3541.284893
0000016-BRUXNER HIGHWAY,2,1,20140218,State,210,27865.5779
0007719-THUNDERBOLTS WAY,1,2,20220428,Regional,211,5672.780969
"0000319-MAUDE RD,MOULAMEIN RD",3,3,20211106,Regional,212,8516.132053
"0007640-SILVERDALE RD,MONTPELIER DR",1,3,20211209,Regional,213,7488.979311
"0000200-KING GEORGES RD,CENTENARY DR,HOMEBUSH BAY DR",3,3,20160219,State,214,362.3745687
"0007153-QUAKERS HILL PWY,KNOX RD,FERRERS RD",1,4,20210923,Regional,215,1208.429229
"0007191-BLAXLAND RD,GILCHRIST DR,THERRY RD",1,3,20210922,Regional,216,3024.520884
0000004-SNOWY MOUNTAINS HIGHWAY,2,3,20201110,State,217,1351.858982
