"REPORT_ID","Suburb","LGA Name","Total Units","Total Cas","Total Fats","Total SI","Total MI","Year","Month","Day","Time","Area Speed","Road Surface","Moisture Cond","Weather Cond","DayNight","Crash Type","Unit Resp","DUI Involved","Drugs Involved","ACCLOC_X","ACCLOC_Y"
"2021-15725-19/09/2025","WOODVILLE","CITY OF CHARLES STURT",2,1,0,1,0,2021,"April","Wednesday","04:00 pm",50,"Sealed","Dry","Not Raining","Daylight","Hit Pedestrian",2,,,1322832.67,1675961.11
"2021-15727-19/09/2025","ELIZABETH EAST","CITY OF PLAYFORD.",2,1,0,0,1,2021,"April","Wednesday","09:30 am",80,"Sealed","Dry","Not Raining","Daylight","Rear End",2,,,1336027.66,1692787.65
"2021-15728-19/09/2025","SALISBURY HEIGHTS","CITY OF SALISBURY",3,1,0,0,1,2021,"April","Wednesday","03:35 pm",60,"Sealed","Dry","Not Raining","Daylight","Right Angle",1,,,1336258.37,1687698.86
"2021-15731-19/09/2025","OAKDEN","CITY OF PORT ADELAIDE ENFIELD",2,1,0,1,0,2021,"April","Wednesday","05:30 pm",60,"Sealed","Dry","Not Raining","Daylight","Right Angle",1,,,1333378.55,1678561.06
"2021-15736-19/09/2025","CHELTENHAM","CITY OF CHARLES STURT",2,1,0,0,1,2021,"April","Wednesday","07:00 pm",60,"Sealed","Dry","Not Raining","Night","Right Turn",2,,,1322282.82,1677760.1
"2021-15737-19/09/2025","BLACKWOOD","CC MITCHAM.",3,1,0,0,1,2021,"April","Wednesday","07:55 pm",50,"Sealed","Dry","Not Raining","Night","Right Angle",2,,,1329690.48,1660048.86
"2021-15740-19/09/2025","BEVERLEY","CITY OF CHARLES STURT",3,1,0,0,1,2021,"April","Thursday","08:10 am",60,"Sealed","Dry","Not Raining","Daylight","Rear End",1,,,1323525.28,1675147.89
"2021-15742-19/09/2025","KENSINGTON PARK","CITY OF BURNSIDE",2,1,0,0,1,2021,"April","Thursday","08:17 am",60,"Sealed","Dry","Not Raining","Daylight","Right Turn",1,,,1333879.5,1671121.63
"2021-15744-19/09/2025","SALISBURY DOWNS","CITY OF SALISBURY",2,1,0,0,1,2021,"April","Thursday","09:15 am",60,"Sealed","Dry","Not Raining","Daylight","Rear End",2,,,1331692.25,1686640.69
"2021-15748-19/09/2025","NURIOOTPA","LIGHT REGIONAL COUNCIL",2,2,0,0,2,2021,"April","Thursday","10:25 am",60,"Sealed","Dry","Not Raining","Daylight","Right Angle",1,,,1364772.29,1720072.41
"2021-15749-19/09/2025","URRBRAE","CC MITCHAM.",2,1,0,0,1,2021,"April","Thursday","09:57 am",60,"Sealed","Dry","Not Raining","Daylight","Right Turn",1,,,1330785.59,1665600.33
"2021-15752-19/09/2025","KILBURN","CITY OF PORT ADELAIDE ENFIELD",2,1,0,0,1,2021,"April","Thursday","01:36 pm",60,"Sealed","Dry","Not Raining","Daylight","Rear End",2,,,1327221.38,1677208.67
"2021-15753-19/09/2025","GLYNDE","CC OF NORWOOD,PAYNEHAM & ST PETERS",2,1,0,0,1,2021,"April","Thursday","08:30 am",60,"Sealed","Dry","Not Raining","Daylight","Rear End",2,,,1333785.54,1674516.59
"2021-15755-19/09/2025","PARAFIELD","CITY OF SALISBURY",3,1,0,0,1,2021,"April","Thursday","01:52 pm",80,"Sealed","Dry","Not Raining","Daylight","Hit Fixed Object",1,,,1332537.93,1684407.94
"2021-15756-19/09/2025","NORTH ADELAIDE","CITY OF ADELAIDE",2,1,0,0,1,2021,"April","Wednesday","02:30 pm",50,"Sealed","Dry","Not Raining","Daylight","Rear End",2,,,1329072.58,1672620.77
"2021-15759-19/09/2025","HYDE PARK","CITY OF UNLEY",3,1,0,0,1,2021,"April","Thursday","03:00 pm",50,"Sealed","Dry","Not Raining","Daylight","Right Angle",1,,,1328405.74,1667162.62
"2021-15766-19/09/2025","O'HALLORAN HILL","CC MARION.",2,1,0,0,1,2021,"April","Thursday","04:10 pm",100,"Sealed","Dry","Not Raining","Daylight","Rear End",2,,,1323988.22,1658007.4
"2021-15771-19/09/2025","NORTHFIELD","CITY OF PORT ADELAIDE ENFIELD",2,1,0,0,1,2021,"April","Thursday","05:00 pm",60,"Sealed","Dry","Not Raining","Daylight","Right Angle",1,,,1330387.25,1678745.78
